No.,Japanese,English
975,ハルクジラ,Cetitan
976,ミガルーサ,Veluza
977,ヘイラッシャ,Dondozo
978,シャリタツ,Tatsugiri
979,コノヨザル,Annihilape
980,ドオー,Clodsire
981,リキキリン,Farigiraf
982,ノココッチ,Dudunsparce
983,ドドゲザン,Kingambit
984,イダイナキバ,Great Tusk
985,サケブシッポ,Scream Tail
986,アラブルタケ,Brute Bonnet
987,ハバタクカミ,Flutter Mane
988,チヲハウハネ,Slither Wing
989,スナノケガワ,Sandy Shocks
990,テツノワダチ,Iron Treads
991,テツノツツミ,Iron Bundle
992,テツノカイナ,Iron Hands
993,テツノコウベ,Iron Jugulis
994,テツノドクガ,Iron Moth
995,テツノイバラ,Iron Thorns
996,セビエ,Frigibax
997,セゴール,Arctibax
998,セグレイブ,Baxcalibur
999,コレクレー,Gimmighoul
1000,サーフゴー,Gholdengo
1001,チオンジェン,Wo-Chien
1002,パオジアン,Chien-Pao
1003,ディンルー,Ting-Lu
1004,イーユイ,Chi-Yu
1005,トドロクツキ,Roaring Moon
1006,テツノブジン,Iron Valiant
1007,コライドン,Koraidon
1008,ミライドン,Miraidon
1009,ウネルミナモ,Walking Wake
1010,テツノイサハ,Iron Leaves
1011,カミッチュ,Dipplin
1012,チャデス,Poltchageist
1013,ヤバソチャ,Sinistcha
1014,イイネイヌ,Okidogi
1015,マシマシラ,Munkidori
1016,キチキギス,Fezandipiti
1017,オーガポン,Ogerpon
10001,へイラッシャ,Dondozo
10002,ウォッシュロトム,Rotom Wash
10003,フロストロトム,Rotom Frost
10004,ヒートロトム,Rotom Heat
10005,スピンロトム,Rotom Fan
10006,カットロトム,Rotom Mow
10007,ルガルガンたそがれ,Lycanroc Dusk
10008,パルデアケンタロス水,Tauros Paldean Water
10009,パルデアケンタロス炎,Tauros Paldean Fire
10010,パルデアケンタロス格闘,Tauros Paldean
10011,ヒスイドレディア,Lilligant Hisuian
10012,ヒスイウォーグル,Braviary Hisuian
10013,ヒスイダイケンキ,Samurott Hisuian
10014,ヒスイバクフーン,Typhlosion Hisuian
10015,ヒスイジュナイパー,Decidueye Hisuian
10016,ヒスイヌメルゴン,Goodra Hisuian
10017,ヒスイウインディ,Arcanine Hisuian
10018,ヒスイマルマイン,Electrode Hisuian
10019,ヒスイゾロアーク,Zoroark Hisuian
10020,化身ランドロス,Landorus Incarnate
10021,化身ボルトロス,Thundurus Incarnate
10022,化身トルネロス,Tornadus Incarnate
10023,化身ラブトロス,Enamorus Incarnate
10024,霊獣ランドロス,Landorus Therian
10025,霊獣ボルトロス,Thundurus Therian
10026,霊獣トルネロス,Tornadus Therian
10027,霊獣ラブトロス,Enamorus Therian
10028,ガラルフリーザー,Articuno Galarian
10029,ガラルサンダー,Zapdos Galarian
10030,ガラルファイヤー,Moltres Galarian
10031,ガラルヤドラン,Slowbro Galarian
10032,ガラルヤドキング,Slowking Galarian
10033,アローラペルシアン,Persian Alolan
10034,アローラベトベトン,Muk Alolan
10035,炎オーガポン,Ogerpon Hearthflame
10035,岩オーガポン,Ogerpon Cornerstone
10035,水オーガポン,Ogerpon Wellspring
10036,イダイトウ・オス,Basculegion Male
10037,イダイトウ・メス,Basculegion Female
10038,ガラルマタドガス,Weezing Galarian
10039,アローラキュウコン,Ninetales Alolan
10040,ガチグマ赫月,Ursaluna Bloodmoon
